56 31
$ < <= > >= = <> In Is + - Or Xor * / Div Mod And Shl Shr As ( ) Not a $ S' E S T F
0	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	1	2	3	4
1	s10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s10	.	.	.	.	.
2	r9	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	.	.	.	.	.	.	.	.	.	r9	.	.	r9	.	.	.	.	.
3	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	r14	s23	s24	s25	s26	s27	s28	s29	s30	.	r14	.	.	r14	.	.	.	.	.
4	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	.	r23	.	.	r23	.	.	.	.	.
5	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	31	2	3	4
6	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	32
7	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	33
8	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	34
9	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	r28	.	r28	.	.	r28	.	.	.	.	.
10	acc	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	acc	.	.	.	.	.
11	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	35	3	4
12	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	36	3	4
13	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	37	3	4
14	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	38	3	4
15	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	39	3	4
16	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	40	3	4
17	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	41	3	4
18	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	42	3	4
19	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	43	4
20	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	44	4
21	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	45	4
22	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	46	4
23	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	47
24	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	48
25	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	49
26	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	.	.	.	50
