|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|VAZIO|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3|||||||||||||||||||||1|2||||||||||
1|||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s5|s6|||||||||||||||||||4|||||||||
3|||||||||||||||||||||s7||||||||||||||||||||||||||||||||||||
4||||||||||||||||||||||||||||||||||s9||||||||||||||||||||8|||
5|||||||||||||||||||||s13||||||||||||||||||||||||||||10|11|12||||||
6||||||||||||||||||||||||||||||||||r35|||||||||||||||||||||||
7||||||||||||||||||s14|||||||||||||||||||||||||||||||||||||||
8|||||||||||||||||||||||||||||||||||||r32||||||||||||||||||||
9|||||||||||||||||||||s18||||||||||||||||||||||||||||||||||15|16|17
10||||||||||||||||||||||||||||||||||r34|||||||||||||||||||||||
11|||||||||||||||||||||||||||s19||||||||||||||||||||||||||||||
12||||||||||||||||||||||||||s20|||||||||||||||||||||||||||||||
13||||||||||||||||||||||||||r40||||s21|||||||||||||||||||||||||||
14|||||||||||||||||||||s13|||||||||||||||||||||||||||||23|24||22||||
15|||||||||||||||||||||||||||||||||||s25||||||||||||||||||||||
16|||||||||||||||||||||s18||||||||||||||||||||||||||||||||||||26
17|||||||||||||||||||||||||||s27||||||||r48||||||||||||||||||||||
18||||||||||||||||||||||||||||||||||||s28|||||||||||||||||||||
19|||||||||||||||||||||s13|||||||||||||r37|||||||||||||||29|11|12||||||
20|||||||||||||||||||||||||||||||s31|s32|s33|||||||||||||||||||30|||||
21|||||||||||||||||||||s13||||||||||||||||||||||||||||||34||||||
22|||||||||||||||||||s35||||||||||||||||||||||||||||||||||||||
23|||||||||||||||||||r45||||||||s36||||||||||||||||||||||||||||||
24||||||||||||||||||||||||||s37|||||||||||||||||||||||||||||||
25|||||||||||||||||||||||||||||||||||||r46||||||||||||||||||||
26|||||||||||||||||||||||||||s38||||||||r47||||||||||||||||||||||
27|||||||||||||||||||||r50||||||||||||||||||||||||||||||||||||
