|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3||||||||||||||||||||1|2||||||||||
1||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s7|||||s6||||||||||||||5||||||4|||
3|||||||||||||||||||||s8|||||||||||||||||||||||||||||||||||
4||||||||||||||||||||||||||||||||||||r32||||||||||||||||||||
5|||||||||||||||||||||||||||||||||s6||||||||||||||||||||9|||
6|||||||||||||||||||||s13|||||||||||||||||||||||||||||||||10|11|12
7|||||||||||||||||||||s17|||||||||||||||||||||||||||14|15|16||||||
8||||||||||||||||||s18||||||||||||||||||||||||||||||||||||||
9||||||||||||||||||||||||||||||||||||r33||||||||||||||||||||
10||||||||||||||||||||||||||||||||||s19||||||||||||||||||||||
11|||||||||||||||||||||s13|||||||||||||||||||||||||||||||||||20
12|||||||||||||||||||||||||||s21|||||||r48||||||||||||||||||||||
13|||||||||||||||||||||||||||||||||||s22|||||||||||||||||||||
14|||||||||||||||||||||||||||||||||r35|||||||||||||||||||||||
15|||||||||||||||||||||||||||s23|||||||||||||||||||||||||||||
16||||||||||||||||||||||||||s24||||||||||||||||||||||||||||||
17||||||||||||||||||||||||||r40|||s25|||||||||||||||||||||||||||
18|||||||||||||||||||||s17||||||||||||||||||||||||||||27|28||26||||
19||||||||||||||||||||||||||||||||||||r46||||||||||||||||||||
20|||||||||||||||||||||||||||s29|||||||r47||||||||||||||||||||||
21|||||||||||||||||||||r50|||||||||||||||||||||||||||||||||||
22|||||||s36|s35||||||||||s34||s37|s38|s39|s40|s41||||||||||||||30||31||32||33||||||||||||
23|||||||||||||||||||||s17||||||||||||r37|||||||||||||||42|15|16||||||
24||||||||||||||||||||||||||||||s44|s45|s46|||||||||||||||||||43|||||
25|||||||||||||||||||||s17|||||||||||||||||||||||||||||47||||||
26|||||||||||||||||||s48|||||||||||||||||||||||||||||||||||||
