|$|<|<=|>|>=|=|<>|=+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|not|ID|NUM|FLOAT_NUM|STRING|function|:|;|var||Longint|Boolean|Double|,|begin|end|:=|$|S|E|opR|A|opB|B|opC|C|D|V|K|L|P|PT|IL|F|X|Y|M
0||||||||||||||||||||||||||s2|||||||||||||||||||||1||||||||||
1|||||||||||||||||||||||||||||s4|s5||||||||||||||||||3|||||||||
2||||||||||||||||||||||s6|||||||||||||||||||||||||||||||||||
3|||||||||||||||||||||||||||||||||||s8|||||||||||||||||||7|||
4||||||||||||||||||||||s12|||||||||||||||||||||||||||9||10||11||||
5|||||||||||||||||||||||||||||||||||r37||||||||||||||||||||||
6|||||||||||||||||||s13||||||||||||||||||||||||||||||||||||||
7|s14|||||||||||||||||||||||||||||||||||||s14|||||||||||||||||||
8||||||||||||||||||||||s18|||||||||||||||||||||||||||||||||15|16|17
9|||||||||||||||||||||||||||||||||||r34||||||||||||||||||||||
10||||||||||||||||||||||||||||s19|||||||||||||||||||||||||||||
11|||||||||||||||||||||||||||s20||||||||||||||||||||||||||||||
12|||||||||||||||||||||||||||r45|||||||s21|||||||||||||||||||||||
13||||||||||||||||||||||s12||||||||||||||||||||||||||||22|23||24||||
14|acc|||||||||||||||||||||||||||||||||||||acc|||||||||||||||||||
15||||||||||||||||||||||||||||||||||||s25|||||||||||||||||||||
16||||||||||||||||||||||s18|||||||||||||||||||||||||||||||||||26
17||||||||||||||||||||||||||||s27||||||||r48|||||||||||||||||||||
18|||||||||||||||||||||||||||||||||||||s28||||||||||||||||||||
19||||||||||||||||||||||s12|||||||||||||r36||||||||||||||29||10||11||||
20|||||||||||||||||||||||||||||||s31|s32|s33|||||||||||||||||||30|||||
21||||||||||||||||||||||s12|||||||||||||||||||||||||||||||34||||
22||||||||||||||||||||s35|||||||||||||||||||||||||||||||||||||
23||||||||||||||||||||r39||||||||s36|||||||||||||||||||||||||||||
24|||||||||||||||||||||||||||s37||||||||||||||||||||||||||||||
25|r46|||||||||||||||||||||||||||||||||||||r46|||||||||||||||||||
26||||||||||||||||||||||||||||s38||||||||r47|||||||||||||||||||||
27||||||||||||||||||||||r50|||||||||||||||||||||||||||||||||||
28||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||39||40||41||42|||||||||||
29|||||||||||||||||||||||||||||||||||r35||||||||||||||||||||||
30||||||||||||||||||||||||||||r40|||||||||||||||||||||||||||||
31||||||||||||||||||||||||||||r41|||||||||||||||||||||||||||||
32||||||||||||||||||||||||||||r42|||||||||||||||||||||||||||||
33||||||||||||||||||||||||||||r43|||||||||||||||||||||||||||||
34|||||||||||||||||||||||||||r44||||||||||||||||||||||||||||||
35|||||||||||||||||||||||||||s51||||||||||||||||||||||||||||||
36||||||||||||||||||||||s12||||||||||||||||||||||||||||52|23||24||||
37|||||||||||||||||||||||||||||||s54|s55|s56|||||||||||||||||||53|||||
38||||||||||||||||||||||r49|||||||||||||||||||||||||||||||||||
39||||||||||||||||||||||||||||r51||||||||r51|||||||||||||||||||||
40||s59|s60|s61|s62|s63|s64|s65|s66|s67|s68|||||||||||||||||r1||||||||r1|||||57||58||||||||||||||
41||r11|r11|r11|r11|r11|r11|r11|r11|r11|r11|s70|s71|s72|s73|s74|s75|s76||||||||||r11||||||||r11|||||||||69||||||||||||
42||r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17||||||||||r17||||||||r17|||||||||||||||||||||
43||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||77||78||79||80|||||||||||
44||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||||||||89|||||||||||
45||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||||||||90|||||||||||
46||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||||||||91|||||||||||
47||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||||||||||r29||||||||r29|||||||||||||||||||||
48||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||||||||||r30||||||||r30|||||||||||||||||||||
49||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||||||||||r31||||||||r31|||||||||||||||||||||
50||r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32||||||||||r32||||||||r32|||||||||||||||||||||
51|||||||||||||||||||||||||||||||s31|s32|s33|||||||||||||||||||92|||||
52||||||||||||||||||||r38|||||||||||||||||||||||||||||||||||||
53||||||||||||||||||||r40||||||||r40|||||||||||||||||||||||||||||
54||||||||||||||||||||r41||||||||r41|||||||||||||||||||||||||||||
55||||||||||||||||||||r42||||||||r42|||||||||||||||||||||||||||||
56||||||||||||||||||||r43||||||||r43|||||||||||||||||||||||||||||
57||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||93||94||95|||||||||||
58||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||||||104||42|||||||||||
59||||||||r3|r3||||||||||r3||r3|r3|r3|r3|r3||||||||||||||||||||||||||||||||
60||||||||r4|r4||||||||||r4||r4|r4|r4|r4|r4||||||||||||||||||||||||||||||||
61||||||||r5|r5||||||||||r5||r5|r5|r5|r5|r5||||||||||||||||||||||||||||||||
62||||||||r6|r6||||||||||r6||r6|r6|r6|r6|r6||||||||||||||||||||||||||||||||
63||||||||r7|r7||||||||||r7||r7|r7|r7|r7|r7||||||||||||||||||||||||||||||||
64||||||||r8|r8||||||||||r8||r8|r8|r8|r8|r8||||||||||||||||||||||||||||||||
65||||||||r12|r12||||||||||r12||r12|r12|r12|r12|r12||||||||||||||||||||||||||||||||
66||||||||r13|r13||||||||||r13||r13|r13|r13|r13|r13||||||||||||||||||||||||||||||||
67||||||||r14|r14||||||||||r14||r14|r14|r14|r14|r14||||||||||||||||||||||||||||||||
68||||||||r15|r15||||||||||r15||r15|r15|r15|r15|r15||||||||||||||||||||||||||||||||
69||||||||s45|s44||||||||||s43||s46|s47|s48|s49|s50|||||||||||||||||||||105|||||||||||
70||||||||r18|r18||||||||||r18||r18|r18|r18|r18|r18||||||||||||||||||||||||||||||||
71||||||||r19|r19||||||||||r19||r19|r19|r19|r19|r19||||||||||||||||||||||||||||||||
72||||||||r20|r20||||||||||r20||r20|r20|r20|r20|r20||||||||||||||||||||||||||||||||
73||||||||r21|r21||||||||||r21||r21|r21|r21|r21|r21||||||||||||||||||||||||||||||||
74||||||||r22|r22||||||||||r22||r22|r22|r22|r22|r22||||||||||||||||||||||||||||||||
75||||||||r23|r23||||||||||r23||r23|r23|r23|r23|r23||||||||||||||||||||||||||||||||
76||||||||r24|r24||||||||||r24||r24|r24|r24|r24|r24||||||||||||||||||||||||||||||||
77||||||||||||||||||||s106|||||||||||||||||||||||||||||||||||||
78||s59|s60|s61|s62|s63|s64|s65|s66|s67|s68|||||||||r1|||||||||||||||||||||107||108||||||||||||||
79||r11|r11|r11|r11|r11|r11|r11|r11|r11|r11|s70|s71|s72|s73|s74|s75|s76||r11|||||||||||||||||||||||||109||||||||||||
80||r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17||r17|||||||||||||||||||||||||||||||||||||
81||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||110||78||79||80|||||||||||
82||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||111|||||||||||
83||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||112|||||||||||
84||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||113|||||||||||
85||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29|||||||||||||||||||||||||||||||||||||
86||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30|||||||||||||||||||||||||||||||||||||
87||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31|||||||||||||||||||||||||||||||||||||
88||r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32||r32|||||||||||||||||||||||||||||||||||||
89||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26||||||||r26|||||||||||||||||||||
90||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27||||||||r27|||||||||||||||||||||
91||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||||||||||r28||||||||r28|||||||||||||||||||||
92||||||||||||||||||||||||||||s114|||||||||||||||||||||||||||||
93||||||||s65|s66|s67|s68|||||||||||||||||r2||||||||r2|||||||115||||||||||||||
94||||||||r11|r11|r11|r11|s70|s71|s72|s73|s74|s75|s76||||||||||r11||||||||r11|||||||||116||||||||||||
95||||||||r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17||||||||||r17||||||||r17|||||||||||||||||||||
96||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||117||78||79||80|||||||||||
97||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||118|||||||||||
98||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||119|||||||||||
99||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||120|||||||||||
100||||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||||||||||r29||||||||r29|||||||||||||||||||||
101||||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||||||||||r30||||||||r30|||||||||||||||||||||
102||||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||||||||||r31||||||||r31|||||||||||||||||||||
103||||||||r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32||||||||||r32||||||||r32|||||||||||||||||||||
104||r10|r10|r10|r10|r10|r10|r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||||||||||r10||||||||r10|||||||||69||||||||||||
105||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||||||||||r16||||||||r16|||||||||||||||||||||
106||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25||||||||r25|||||||||||||||||||||
107||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||121||122||123|||||||||||
108||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||132||80|||||||||||
109||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||133|||||||||||
110||||||||||||||||||||s134|||||||||||||||||||||||||||||||||||||
111||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26|||||||||||||||||||||||||||||||||||||
112||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27|||||||||||||||||||||||||||||||||||||
113||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28|||||||||||||||||||||||||||||||||||||
114|||||||||||||||||||||||||||||r33|r33|||||||||||||||||||||||||||
115||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||135||95|||||||||||
116||||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||136|||||||||||
117||||||||||||||||||||s137|||||||||||||||||||||||||||||||||||||
118||||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26||||||||r26|||||||||||||||||||||
119||||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27||||||||r27|||||||||||||||||||||
120||||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||||||||||r28||||||||r28|||||||||||||||||||||
121||||||||s65|s66|s67|s68|||||||||r2|||||||||||||||||||||||138||||||||||||||
122||||||||r11|r11|r11|r11|s70|s71|s72|s73|s74|s75|s76||r11|||||||||||||||||||||||||139||||||||||||
123||||||||r17|r17|r17|r17|r17|r17|r17|r17|r17|r17|r17||r17|||||||||||||||||||||||||||||||||||||
124||||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||140||78||79||80|||||||||||
125||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||141|||||||||||
126||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||142|||||||||||
127||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||143|||||||||||
128||||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29|||||||||||||||||||||||||||||||||||||
129||||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30|||||||||||||||||||||||||||||||||||||
130||||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31|||||||||||||||||||||||||||||||||||||
131||||||||r32|r32|r32|r32|r32|r32|r32|r32|r32|r32|r32||r32|||||||||||||||||||||||||||||||||||||
132||r10|r10|r10|r10|r10|r10|r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||r10|||||||||||||||||||||||||109||||||||||||
133||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||r16|||||||||||||||||||||||||||||||||||||
134||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||r25|||||||||||||||||||||||||||||||||||||
135||||||||r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||||||||||r10||||||||r10|||||||||116||||||||||||
136||||||||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||||||||||r16||||||||r16|||||||||||||||||||||
137||||||||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25||||||||r25|||||||||||||||||||||
138||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||144||123|||||||||||
139||||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||145|||||||||||
140||||||||||||||||||||s146|||||||||||||||||||||||||||||||||||||
141||||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26|||||||||||||||||||||||||||||||||||||
142||||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27|||||||||||||||||||||||||||||||||||||
143||||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28|||||||||||||||||||||||||||||||||||||
144||||||||r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||r10|||||||||||||||||||||||||139||||||||||||
